Name,Description,Category,Card,Date,Status,OCost,Cost,Savings
District36,District36,Food,A.S 1008,10/26/2025,Procured,,21,
Ramen Nagi,Ramen Nagi,Food,A.S 1008,10/22/2025,Procured,,27,
Ikea,Ikea,Food,A.S 1008,10/22/2025,Procured,,8,
Halal Guys,Halal Guys,Food,A.S 1008,10/21/2025,Procured,,17,
Kei Coffee,Kei Coffee,Food,A.S 1008,10/18/2025,Procured,,7,
Anime Westminster,Pikalin Studios,Fun,A.S 1008,10/18/2025,Procured,92,92,0
Amarith,Amarith,Food,A.S 1008,10/18/2025,Procured,,47,
EPL,EPL,Food,A.S 1008,10/17/2025,Procured,,10,
,Null Number,Gift,A.S 1008,10/16/2025,Procured,,0,
Capital Noodle,Capital Noodle,Food,A.S 1008,10/16/2025,Procured,,19,
Ikea,Ikea,Food,A.S 1008,10/16/2025,Procured,,6,
Black Angus,Black Angus,Food,A.S 1008,10/15/2025,Procured,,39,
No1 Chinese,No1 Chinese,Food,A.S 1008,10/14/2025,Procured,,12,
Com Tam TQQ,Com Tam TQQ,Food,A.S 1008,10/14/2025,Procured,,16,
In n Out,In n Out,Food,A.S 1008,10/13/2025,Procured,,11,
JC Penny Bedding,"Sheet Set, Towels, Pillowcase",Home,A.S 1008,10/13/2025,Procured,192,79,113
Vox,Vox,Food,A.S 1008,10/13/2025,Procured,,39,
JC Penny Bedding,Pillows + Pillowcase,Health,A.S 1008,10/12/2025,Procured,234,67,167
Wendys,Wendys,Food,A.S 1008,10/12/2025,Procured,,9,
Bep Viet,Bep Viet,Food,A.S 1008,10/12/2025,Procured,,38,
Thai By Fire,Thai By Fire,Food,A.S 1008,10/10/2025,Procured,,22,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,10/9/2025,Procured,,15,
Shin Sen Gumi,Shin Sen Gumi,Food,A.S 1008,10/9/2025,Procured,,39,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,10/8/2025,Procured,,23,
Shake Shack,Shake Shack,Food,A.S 1008,10/7/2025,Procured,,15,
Capital,Capital,Food,A.S 1008,10/7/2025,Procured,,21,
Hot C Pot,Hot C Pot,Food,A.S 1008,10/6/2025,Procured,,114,
No1 Chinese,No1 Chinese,Food,A.S 1008,10/6/2025,Procured,,12,
Be You,Be You,Food,A.S 1008,10/4/2025,Procured,,31,
Art Commission,Sauna,Fun,A.S 1008,10/4/2025,Procured,90,90,0
3Cat,3Cat,Food,A.S 1008,10/3/2025,Procured,,7,
Escape Room,Goblin Secrets,Fun,A.S 1008,10/3/2025,Procured,120,120,0
Kura,Kura,Food,A.S 1008,10/3/2025,Procured,,75,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,10/2/2025,Procured,,65,
Vehicle Registration,TESLA Registration,Tesla,A.S 1008,10/1/2025,Procured,711,711,0
Tenaktori,Tenaktori,Food,A.S 1008,10/1/2025,Procured,,19,
Slurpin Ramen,Slurpin Ramen,Food,A.S 1008,9/30/2025,Procured,,22,
Slice House,Slice House,Food,A.S 1008,9/30/2025,Procured,,14,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,9/29/2025,Procured,,4,
Hot C,Hot C,Food,A.S 1008,9/28/2025,Procured,,35,
In N Out,In N Out,Food,A.S 1008,9/28/2025,Procured,,7,
Pho Nic,Pho Nic,Food,A.S 1008,9/27/2025,Procured,,35,
Steam Game,Shape of Dreams,Fun,A.S 1008,9/27/2025,Procured,25,12,13
Vox,Vox,Food,A.S 1008,9/26/2025,Procured,,14,
Vox,Vox,Food,A.S 1008,9/25/2025,Procured,,24,
Cava,Cava,Food,A.S 1008,9/23/2025,Procured,,13,
No1 Chinese,No1 Chinese,Food,A.S 1008,9/23/2025,Procured,,12,
Cava,Cava,Food,A.S 1008,9/23/2025,Procured,,13,
Vox,Vox,Food,A.S 1008,9/22/2025,Procured,,13,
Dakao,Dakao,Food,A.S 1008,9/22/2025,Procured,,18,
In N Out,In N Out,Food,A.S 1008,9/21/2025,Procured,,19,
AFC Costs,Merch + Additional,Fun,A.S 1008,9/21/2025,Procured,150,150,0
Whole Foods,Whole Foods,Food,A.S 1008,9/21/2025,Procured,,7,
Kappo Honda,Kappo Honda,Food,A.S 1008,9/21/2025,Procured,,25,
Kin,Kin,Food,A.S 1008,9/19/2025,Procured,,48,
Apple Watch,Ultra 3,Tech,A.S 1008,9/19/2025,Procured,800,625,175
EPL,EPL,Food,A.S 1008,9/19/2025,Procured,,16,
AFC Tickets,AFC Convention,Fun,A.S 1008,9/19/2025,Procured,50,50,0
Rooster Rice,Rooster Rice,Food,A.S 1008,9/18/2025,Procured,,22,
Paradise,Paradise,Food,A.S 1008,9/17/2025,Procured,,21,
Jack In The Box,Jack In The Box,Food,A.S 1008,9/16/2025,Procured,,11,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,9/16/2025,Procured,,20,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,9/15/2025,Procured,,16,
Baby Shower,Box + Card,Gift,A.S 1008,9/15/2025,Procured,18,18,0
Demon Slayer Movie,Infinity Castle,Fun,A.S 1008,9/13/2025,Procured,20,20,0
Sunright,Sunright,Food,A.S 1008,9/13/2025,Procured,,7,
Tokyo Central,Tokyo Central,Food,A.S 1008,9/13/2025,Procured,,30,
McDonalds,McDonalds,Food,A.S 1008,9/12/2025,Procured,,12,
No1 Chinese,No1 Chinese,Food,A.S 1008,9/11/2025,Procured,,12,
Thirsty Cow,Thirsty Cow,Food,A.S 1008,9/10/2025,Procured,,106,
Quan Mii,Quan Mii,Food,A.S 1008,9/9/2025,Procured,,21,
EPL,EPL,Food,A.S 1008,9/9/2025,Procured,,12,
FedEx Shipping,S3XY Stalk Repair,Tesla,A.S 1008,9/9/2025,Procured,29,29,0
Shabuya,Shabuya,Food,A.S 1008,9/7/2025,Procured,,70,
Kitakata,Kitakata,Food,A.S 1008,9/5/2025,Procured,,23,
Water Hose Nozzle,Flexzilla Hose Nozzle,Home,A.S 1008,9/5/2025,Procured,10,7,3
Collapsible Chair,Quiget Chair,Home,A.S 1008,9/5/2025,Procured,35,23,12
Pressure Washer Hose,Flexzilla Hose 50',Home,A.S 1008,9/5/2025,Procured,70,49,21
Sabrosada,Sabrosada,Food,A.S 1008,9/5/2025,Procured,,16,
Baby Books,Quantum Science Set,Gift,A.S 1008,9/4/2025,Procured,40,25,15
Diapers,Mama Bear Diapers,Gift,A.S 1008,9/4/2025,Procured,13,10,3
Dirt Disposal Bag,Roomba Bag,Home,A.S 1008,9/4/2025,Procured,17,13,4
Pressure Washer Nozzle,Ridge Washer 3.0,Home,A.S 1008,9/4/2025,Procured,25,21,4
Brazuca,Brazuca,Food,A.S 1008,9/4/2025,Procured,,25,
Simply Pho,Simply Pho,Food,A.S 1008,9/3/2025,Procured,,18,
Gyutan,Gyutan,Food,A.S 1008,9/3/2025,Procured,,35,
In N Out,In N Out,Food,A.S 1008,9/2/2025,Procured,,12,
Detailing Swivel Gun,McKillans Swivel Gun Pro,Home,A.S 1008,9/1/2025,Procured,90,80,10
Dakao,Dakao,Food,A.S 1008,9/1/2025,Procured,,18,
Pressure Washer,Ryobi 1800 1.2,Home,A.S 1008,9/1/2025,Procured,100,90,10
Hanoi Old Quarter,Hanoi Old Quarter,Food,A.S 1008,8/31/2025,Procured,,18,
Avilas Ranchito,Avilas Ranchito,Food,A.S 1008,8/31/2025,Procured,,52,
Bangkok Broth,Bangkok Broth,Food,A.S 1008,8/30/2025,Procured,,27,
Antifungal Cream,Lotrimin AF,Health,A.S 1008,8/29/2025,Procured,16,16,0
Vox,Vox,Food,A.S 1008,8/28/2025,Procured,,27,
Dave’s Hot,Dave’s Hot,Food,C.F 3882,8/28/2025,Procured,,13,
Sabrosada,Sabrosada,Food,A.S 1008,8/28/2025,Procured,,7,
Alley,Alley,Food,A.S 1008,8/27/2025,Procured,,8,
Oniku,Oniku,Food,A.S 1008,8/27/2025,Procured,,89,
91 Express Sticker,Exterior Transponder,Tesla,A.S 1008,8/27/2025,Procured,5,5,0
Ramen Nagi,Ramen Nagi,Food,A.S 1008,8/26/2025,Procured,,21,
,TESLA Registration,Tesla,A.S 1008,8/26/2025,Procured,,0,
USB Extenders,Insignia USB Extender,Gift,A.S 1008,8/26/2025,Procured,22,22,0
Vox,Vox,Food,A.S 1008,8/25/2025,Procured,,23,
Brodard,Brodard,Food,A.S 1008,8/24/2025,Procured,,24,
Olive Garden,Olive Garden,Food,A.S 1008,8/24/2025,Procured,,28,
Express Lanes,Sticker Transponder,Tesla,,8/22/2025,Procured,55,55,0
Chipotle,Chipotle,Food,A.S 1008,8/22/2025,Procured,,6,
Capital Noodle,Capital Noodle,Food,A.S 1008,8/22/2025,Procured,,21,
Chobop,Chobop,Food,A.S 1008,8/21/2025,Procured,,20,
Yoo Place,Yoo Place,Food,A.S 1008,8/20/2025,Procured,,26,
Starbucks,Starbucks,Food,A.S 1008,8/20/2025,Procured,,11,
Vox,Vox,Food,A.S 1008,8/19/2025,Procured,,51,
No 1 Chinese,No 1 Chinese,Food,A.S 1008,8/18/2025,Procured,,12,
Hot C Pot,Hot C Pot,Food,A.S 1008,8/18/2025,Procured,,38,
Animation Commission,Shakin Booty,Gift,A.S 1008,8/18/2025,Procured,40,40,0
Tacos Los Cholos,Tacos Los Cholos,Food,A.S 1008,8/17/2025,Procured,,48,
Great Maple,Great Maple,Food,A.S 1008,8/16/2025,Procured,,55,
Ramen Taiko,Ramen Taiko,Food,A.S 1008,8/16/2025,Procured,,47,
Walking Cane,Asterom DireWolf Cane,Health,A.S 1008,8/14/2025,Procured,99,99,0
Chobop,Chobop,Food,A.S 1008,8/14/2025,Procured,,50,
Amarith,Amarith,Food,A.S 1008,8/13/2025,Procured,,36,
EPL,EPL,Food,A.S 1008,8/13/2025,Procured,,13,
Layered Organizer,Iris Organizer,Home,A.S 1008,8/12/2025,Procured,25,18,7
Dakao,Dakao,Food,A.S 1008,8/12/2025,Procured,,18,
Oki Niku Wagyu,Oki Niku Wagyu,Food,A.S 1008,8/11/2025,Procured,,45,
Happy Lamb,Happy Lamb,Food,A.S 1008,8/10/2025,Procured,,78,
In N Out,In N Out,Food,A.S 1008,8/9/2025,Procured,,11,
Regal Movie,Bad Guys 2,Fun,A.S 1008,8/9/2025,Procured,45,45,0
Vox,Vox,Food,A.S 1008,8/8/2025,Procured,,36,
Wanderlust,Wanderlust,Food,A.S 1008,8/8/2025,Procured,,8,
McDonalds,McDonalds,Food,A.S 1008,8/7/2025,Procured,,16,
Hue Oi,Hue Oi,Food,A.S 1008,8/6/2025,Procured,,22,
Amarith,Amarith,Food,A.S 1008,8/5/2025,Procured,,33,
Filling Station,Filling Station,Food,A.S 1008,8/5/2025,Procured,,45,
Hue Oi,Hue Oi,Food,A.S 1008,8/4/2025,Procured,,28,
Simmzy,Simmzy,Food,A.S 1008,8/3/2025,Procured,,50,
Thai By SOF,Thai By SOF,Food,A.S 1008,8/2/2025,Procured,,28,
Taco Bell,Taco Bell,Food,A.S 1008,8/1/2025,Procured,,27,
ShinSenGumi,ShinSenGumi,Food,A.S 1008,7/31/2025,Procured,,28,
Vox,Vox,Food,A.S 1008,7/30/2025,Procured,,37,
HeyBings,HeyBings,Food,A.S 1008,7/30/2025,Procured,,20,
California Fish Grill,California Fish Grill,Food,A.S 1008,7/29/2025,Procured,,22,
Kaiser ER,Additional ER Costs,Health,A.S 1008,7/27/2025,Procured,1685,1685,0
Bullgolgi,Bullgolgi,Food,A.S 1008,7/26/2025,Procured,,25,
Panda Express,Panda Express,Food,A.S 1008,7/25/2025,Procured,,16,
Kappo Honda,Kappo Honda,Food,A.S 1008,7/25/2025,Procured,,200,
Our Nest,Our Nest,Food,A.S 1008,7/24/2025,Procured,,48,
Riot Points,Spirit Blossom Pass,Fun,,7/24/2025,Procured,22,22,0
Habit,Habit,Food,A.S 1008,7/23/2025,Procured,,25,
Vox,Vox,Food,A.S 1008,7/21/2025,Procured,,20,
Gogi KBBQ,Gogi KBBQ,Food,A.S 1008,7/20/2025,Procured,,70,
Portillos,Portillos,Food,A.S 1008,7/20/2025,Procured,,13,
Thai Boy,Thai Boy,Food,A.S 1008,7/19/2025,Procured,,30,
Bug Catcher,Katchy Catcher,Tech,A.S 1008,7/17/2025,Procured,44,40,4
Dominoes,Dominoes,Food,A.S 1008,7/16/2025,Procured,,30,
Panda Expess,Panda Expess,Food,A.S 1008,7/15/2025,Procured,,18,
76 Gas,Gas,Gift,A.S 1008,7/14/2025,Procured,70,70,0
BoPoMoFo,BoPoMoFo,Food,A.S 1008,7/14/2025,Procured,,35,
Panda Express,Panda Express,Food,A.S 1008,7/12/2025,Procured,,16,
Tactical Flashlight,Nitecore EDC29,Tech,A.S 1008,7/11/2025,Procured,110,88,22
Power Bank Holder,SmallRig Holder,Tech,A.S 1008,7/11/2025,Procured,23,18,5
Hot Shoe Adapter,Atmoshue Adapter,Tech,A.S 1008,7/11/2025,Procured,12,12,0
MagSafe Wallet,ESR Upgraded,Tech,A.S 1008,7/11/2025,Procured,27,22,5
Wallet Tracker Card,RhinoKey Card,Tech,A.S 1008,7/11/2025,Procured,40,30,10
Portable Charger,INIU Pocket Size,Tech,A.S 1008,7/11/2025,Procured,39,28,11
SPF 50 Sunscreen,Supergoop Unseen,Health,A.S 1008,7/11/2025,Procured,48,38,10
Amazon Fresh,Amazon Fresh,Food,A.S 1008,7/10/2025,Procured,,1,
DMV Placard,Disabled Person Parking,Life,A.S 1008,7/8/2025,Procured,6,6,0
Cloth Tape,Nexcare Cloth Tape,Health,A.S 1008,7/8/2025,Procured,18,6,12
Dentist,Haagen and Pham,Health,A.S 1008,7/7/2025,Procured,431,431,0
Artisan,Artisan,Food,A.S 1008,7/7/2025,Procured,,36,
Afters,Afters,Food,A.S 1008,7/7/2025,Procured,,9,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,7/6/2025,Procured,,38,
Cha Redefined,Cha Redefined,Food,A.S 1008,7/6/2025,Procured,,7,
Istanbul Grill,Istanbul Grill,Food,A.S 1008,7/6/2025,Procured,,29,
Uniqlo,Airisms,Apparel,A.S 1008,7/6/2025,Procured,107,107,0
Hot C Pot,Hot C Pot,Food,A.S 1008,7/4/2025,Procured,,76,
Wendy’s,Wendy’s,Food,A.S 1008,7/3/2025,Procured,,34,
Animation Commission,Shakin Booty,Fun,A.S 1008,7/3/2025,Procured,40,40,0
Shinsengumi,Shinsengumi,Food,A.S 1008,7/3/2025,Procured,,22,
Live 2D Model,Sillies Sitting,Fun,A.S 1008,7/3/2025,Procured,55,55,0
Nep,Nep,Food,A.S 1008,7/1/2025,Procured,,45,
Kei KH,Kei KH,Food,A.S 1008,6/30/2025,Procured,,23,
KP,Surgery Costs,Health,A.S 1008,6/29/2025,Procured,3100,3100,0
,Pannier Refund,Health,A.S 1008,6/28/2025,Procured,,50,
CFG + SR,CFG + SR,Food,A.S 1008,6/26/2025,Procured,,43,
Keyboard Remover,Keyboard Remove Kit,Tech,A.S 1008,6/25/2025,Procured,10,10,0
Kaiser Permanente,CoPay,Health,A.S 1008,6/25/2025,Procured,80,80,0
Burker King Sushi,Burker King Sushi,Food,A.S 1008,6/25/2025,Procured,,70,
Steam Game,Rotwood,Fun,A.S 1008,6/21/2025,Procured,20,16,4
Uber,Dean Uber,Travel,A.S 1008,6/20/2025,Procured,31,31,0
Amazon Fresh,Amazon Fresh,Food,A.S 1008,6/20/2025,Procured,,42,
ER Visit,Kaiser ER,Health,A.S 1008,6/20/2025,Procured,500,500,0
PC Controller,Mandba One,Fun,A.S 1008,6/20/2025,Procured,70,70,0
Vox,Vox,Food,A.S 1008,6/19/2025,Procured,,22,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,6/18/2025,Procured,,10,
Vox,Vox,Food,A.S 1008,6/18/2025,Procured,,25,
No1 Chinese,No1 Chinese,Food,A.S 1008,6/16/2025,Procured,,11,
Mendocino Farms,Mendocino Farms,Food,A.S 1008,6/16/2025,Procured,,9,
Camera Cage,SmallRig DJI Cage,Tech,A.S 1008,6/15/2025,Procured,40,40,0
Civivi Vision Knife,Civivi Vision FG,Home,A.S 1008,6/15/2025,Procured,92,70,22
Le Dip,Le Dip,Food,C.F 3882,6/15/2025,Procured,,12,
Athletic Watch Band,Spigen Athlex Air,Tech,A.S 1008,6/15/2025,Procured,25,25,0
Pannier Bag,Rhinowalk Pannier,Travel,A.S 1008,6/15/2025,Procured,50,50,0
Rei CoOp,Mount Repair Kit Lube,Health,A.S 1008,6/14/2025,Procured,65,65,0
Bike Repairs,ATB Bike,Health,A.S 1008,6/14/2025,Procured,60,60,0
Bike Power Bank,Spolite 9000mAh Battery,Tech,A.S 1008,6/14/2025,Procured,56,56,0
Birria Truck,Birria Truck,Food,A.S 1008,6/14/2025,Procured,,11,
Foam Cannon,Raincovo Cannon,Tesla,A.S 1008,6/13/2025,Procured,33,33,0
Rooster and Rice,Rooster and Rice,Food,A.S 1008,6/13/2025,Procured,,16,
Quick Connect Set,Pressure Washer QC,Tesla,A.S 1008,6/13/2025,Procured,30,25,5
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,6/12/2025,Procured,,14,
BCD,BCD,Food,A.S 1008,6/11/2025,Procured,,28,
Rooster Cafe,Rooster Cafe,Food,A.S 1008,6/11/2025,Procured,,22,
Vox,Vox,Food,A.S 1008,6/10/2025,Procured,,22,
Ramen Nagi,Ramen Nagi,Food,A.S 1008,6/9/2025,Procured,,27,
Nep,Nep,Food,A.S 1008,6/7/2025,Procured,,136,
Jolibee,Jolibee,Food,A.S 1008,6/7/2025,Procured,,16,
Ikkousha,Ikkousha,Food,A.S 1008,6/6/2025,Procured,,18,
Costco,Costco,Food,C.F 3882,6/6/2025,Procured,,111,
Halal Guys,Halal Guys,Food,A.S 1008,6/5/2025,Procured,,18,
7 Leaves,7 Leaves,Food,A.S 1008,6/5/2025,Procured,,6,
Capital,Capital,Food,A.S 1008,6/4/2025,Procured,,19,
HSR,Hoyo,Fun,A.S 1008,6/3/2025,Procured,100,100,0
Le Shrimp,Le Shrimp,Food,A.S 1008,6/3/2025,Procured,,16,
Ralphs,Ralphs,Food,A.S 1008,6/2/2025,Procured,,13,
Movie,HHTYD,Fun,A.S 1008,6/2/2025,Procured,51,51,0
Tessie,Lifetime Buy,Tesla,C.F 3882,6/2/2025,Procured,200,150,50
Rooster,Rooster,Food,A.S 1008,6/2/2025,Procured,,12,
Shinsengumi,Shinsengumi,Food,A.S 1008,6/2/2025,Procured,,29,
Com Tam Thanh,Com Tam Thanh,Food,A.S 1008,6/1/2025,Procured,,20,
Gogi Kbbq,Gogi Kbbq,Food,A.S 1008,5/31/2025,Procured,,103,
Rechargeable Batt Charger,imuto Charging Box,Home,A.S 1008,5/31/2025,Procured,26,26,0
Thread Router,Apple Homepod Mini,Tech,A.S 1008,5/31/2025,Procured,99,73,26
Rechargable Batt,imuto 8x AA,Home,A.S 1008,5/31/2025,Procured,24,17,7
Smart Lock,Aqara U300,Tech,A.S 1008,5/30/2025,Procured,230,180,50
No1 Chinese,No1 Chinese,Food,A.S 1008,5/29/2025,Procured,,11,
Ralphs,Ralphs,Food,A.S 1008,5/29/2025,Procured,,9,
Quan Mii,Quan Mii,Food,A.S 1008,5/28/2025,Procured,,21,
EPL,EPL,Food,A.S 1008,5/28/2025,Procured,,11,
Warframe,Platinum,Fun,A.S 1008,5/28/2025,Procured,50,15,35
Miyabi,Miyabi,Food,A.S 1008,5/27/2025,Procured,,10,
Steam,Warframe Cape,Fun,A.S 1008,5/26/2025,Procured,6,6,0
Shabuya,Shabuya,Food,A.S 1008,5/26/2025,Procured,,36,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,5/24/2025,Procured,,16,
Afters,Afters,Food,A.S 1008,5/23/2025,Procured,,18,
Ralphs,Ralphs,Food,A.S 1008,5/23/2025,Procured,,37,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,5/23/2025,Procured,,5,
Slice Haus,Slice Haus,Food,A.S 1008,5/21/2025,Procured,,16,
Shinsengumi,Shinsengumi,Food,A.S 1008,5/20/2025,Procured,,22,
EPL,EPL,Food,A.S 1008,5/20/2025,Procured,,16,
California Fish Grill,California Fish Grill,Food,A.S 1008,5/19/2025,Procured,,21,
Astoria,Hotel/Parking/Food,Travel,A.S 1008,5/18/2025,Procured,1245,175,1070
Da Vien,Da Vien,Food,A.S 1008,5/18/2025,Procured,,7,
Kei,Kei,Food,A.S 1008,5/18/2025,Procured,,7,
Com Tam Dao Vien,Com Tam Dao Vien,Food,A.S 1008,5/18/2025,Procured,,26,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,5/17/2025,Procured,,2,
Costco,Costco,Food,A.S 1008,5/17/2025,Procured,,13,
Pokemon Card,Scizor,Fun,A.S 1008,5/16/2025,Procured,10,10,0
Amazon Fresh,Amazon Fresh,Food,A.S 1008,5/16/2025,Procured,,12,
No1 Chinese,No1 Chinese,Food,A.S 1008,5/15/2025,Procured,,12,
Amazon Fresh,Amazon Fresh,Food,A.S 1008,5/14/2025,Procured,,25,
Capital,Capital,Food,A.S 1008,5/14/2025,Procured,,21,
Pokemon Cards,Leafeon Pikachu Garchomp,Fun,A.S 1008,5/14/2025,Procured,95,85,10
Afters,Afters,Food,A.S 1008,5/14/2025,Procured,,7,
EPL,EPL,Food,A.S 1008,5/13/2025,Procured,,12,
TukTuk,TukTuk,Food,A.S 1008,5/12/2025,Procured,,17,
Amazon Apples,Amazon Apples,Food,A.S 1008,5/12/2025,Procured,,5,
Wang Cho,Wang Cho,Food,A.S 1008,5/10/2025,Procured,,39,
Parking Structure,Gardenwalk Parking,Fun,A.S 1008,5/10/2025,Procured,4,4,0
Wahoos,Wahoos,Food,A.S 1008,5/10/2025,Procured,,15,
Jamba Juice,Jamba Juice,Food,A.S 1008,5/10/2025,Procured,,12,
Paradise Dynasty,Paradise Dynasty,Food,A.S 1008,5/9/2025,Procured,,24,
Red Flame,Red Flame,Food,C.F 3882,5/8/2025,Procured,,27,
CHA,CHA,Food,A.S 1008,5/7/2025,Procured,,8,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,5/7/2025,Procured,,17,
Kin,Kin,Food,A.S 1008,5/6/2025,Procured,,55,
Halal Guys,Halal Guys,Food,A.S 1008,5/5/2025,Procured,,17,
Panda,Panda,Food,A.S 1008,5/5/2025,Procured,,12,
Vox,Vox,Food,A.S 1008,5/4/2025,Procured,,21,
La Taqueria,La Taqueria,Food,A.S 1008,5/4/2025,Procured,,17,
Movie,Thunderbolts,Fun,A.S 1008,5/4/2025,Procured,20,20,0
Somisomi,Somisomi,Food,A.S 1008,5/3/2025,Procured,,4,
Avenue,Avenue,Food,A.S 1008,5/3/2025,Procured,,42,
ShinSenGumi,ShinSenGumi,Food,A.S 1008,5/1/2025,Procured,,22,
Rooster,Rooster,Food,A.S 1008,5/1/2025,Procured,,16,
Dummy HDMI,BKFK HDMI,Fun,A.S 1008,5/1/2025,Procured,3,3,0
7Leaves,7Leaves,Food,A.S 1008,4/30/2025,Procured,,6,
Capital,Capital,Food,A.S 1008,4/30/2025,Procured,,19,
Rito Points,RP,Fun,A.S 1008,4/30/2025,Procured,11,11,0
Brodard,Brodard,Food,A.S 1008,4/29/2025,Procured,,61,
EPL,EPL,Food,A.S 1008,4/29/2025,Procured,,16,
,"CAT6, MorandiSwitch, ASCoiled",PC,A.S 1008,4/28/2025,Procured,,78,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,4/28/2025,Procured,,17,
Minecraft,Bedrock+Java,Fun,A.S 1008,4/28/2025,Procured,30,30,0
Keycaps,Osume Tsukimi Keycaps,PC,A.S 1008,4/28/2025,Procured,96,80,16
Smoke Queen,Smoke Queen,Food,A.S 1008,4/27/2025,Procured,,45,
Orobae,Orobae,Food,A.S 1008,4/27/2025,Procured,,6,
Metal Keyboard,Zoom75 TIGA,PC,A.S 1008,4/26/2025,Procured,240,220,20
Cable and Desk Mat,INIU + Felt,Tech,A.S 1008,4/26/2025,Procured,28,28,0
Dakao,Dakao,Food,A.S 1008,4/26/2025,Procured,,17,
Metal Numpad,ZoomPad TIGA,PC,A.S 1008,4/26/2025,Procured,112,112,0
3Cat,3Cat,Food,A.S 1008,4/26/2025,Procured,,7,
Tesla Covers,TESBEAUTY 7 covers,Tesla,A.S 1008,4/24/2025,Procured,69,69,0
Cha,Cha,Food,A.S 1008,4/24/2025,Procured,,8,
,Mioui Full Body,Fun,A.S 1008,4/23/2025,Procured,,80,
In N Out,In N Out,Food,A.S 1008,4/23/2025,Procured,,3,
No 1 Chinese,No 1 Chinese,Food,A.S 1008,4/23/2025,Procured,,11,
Sukihana,Sukihana,Food,A.S 1008,4/22/2025,Procured,,13,
Panda,Panda,Food,A.S 1008,4/22/2025,Procured,,12,
Capital,Capital,Food,A.S 1008,4/22/2025,Procured,,21,
CoCo Ichibanya,CoCo Ichibanya,Food,A.S 1008,4/22/2025,Procured,,25,
Windows 11 Pro,CDKeys Win 11 Pro,PC,A.S 1008,4/22/2025,Procured,200,1,199
Cha,Cha,Food,A.S 1008,4/22/2025,Procured,,8,
Pur Bowls,Pur Bowls,Food,A.S 1008,4/19/2025,Procured,,12,
Happy Lamb,Happy Lamb,Food,A.S 1008,4/19/2025,Procured,,39,
Simply Pho,Simply Pho,Food,A.S 1008,4/18/2025,Procured,,18,
Pillow,Room Pillow,Home,A.S 1008,4/18/2025,Procured,10,10,0
Rito Points,Riot Points,Fun,A.S 1008,4/18/2025,Procured,11,11,0
Brodard Express,Brodard Express,Food,A.S 1008,4/17/2025,Procured,,10,
Maruwu Seicha,Maruwu Seicha,Food,A.S 1008,4/17/2025,Procured,,18,
Sweet Maple,Sweet Maple,Food,A.S 1008,4/17/2025,Procured,,64,
Hummus,Hummus,Food,A.S 1008,4/17/2025,Procured,,34,
Starbucks,Starbucks,Food,A.S 1008,4/17/2025,Procured,,8,
Dough Zone,Dough Zone,Food,A.S 1008,4/17/2025,Procured,,32,
Earls,Earls,Food,A.S 1008,4/17/2025,Procured,,40,
Blue Bowl,Blue Bowl,Food,A.S 1008,4/14/2025,Procured,,12,
Com Tam TQC,Com Tam TQC,Food,A.S 1008,4/13/2025,Procured,,16,
Zachs Chicken,Zachs Chicken,Food,A.S 1008,4/12/2025,Procured,,17,
HMart,HMart,Food,A.S 1008,4/12/2025,Procured,,47,
Panda,Panda,Food,A.S 1008,4/11/2025,Procured,,9,
Cha,Cha,Food,A.S 1008,4/11/2025,Procured,,8,
Slurpin,Slurpin,Food,A.S 1008,4/11/2025,Procured,,22,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,4/10/2025,Procured,,17,
Red Robin,Red Robin,Food,A.S 1008,4/9/2025,Procured,,16,
EPL,EPL,Food,A.S 1008,4/8/2025,Procured,,17,
Cha,Cha,Food,A.S 1008,4/7/2025,Procured,,8,
Vox,Vox,Food,A.S 1008,4/7/2025,Procured,,24,
Atra,Atra,Food,A.S 1008,4/6/2025,Procured,,7,
DMV Renew,Driver License Renew,Life,A.S 1008,4/6/2025,Procured,45,45,0
Toothpaste,Crest Optic White,Health,A.S 1008,4/6/2025,Procured,14,7,7
Global Entry Renew,GE and TSA Pre,Life,A.S 1008,4/6/2025,Procured,120,120,0
Da Hawaiian,Da Hawaiian,Food,A.S 1008,4/6/2025,Procured,,19,
Tony Slice,Tony Slice,Food,A.S 1008,4/5/2025,Procured,,16,
Cha,Cha,Food,A.S 1008,4/4/2025,Procured,,7,
Jumpa Thai,Jumpa Thai,Food,A.S 1008,4/4/2025,Procured,,34,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,4/3/2025,Procured,,17,
,No Money Gif,Fun,A.S 1008,4/3/2025,Procured,,35,
Extension Cord,Amazon Basics Ext,PC,A.S 1008,4/3/2025,Procured,11,10,1
